2049	1:__ 2:__ 3:__ 4:__ 5:__ 6:bp 7:__ 8:__ 9:yb 10:__	the person with the yellow shirt and blue hat moves two spots to the left	1:__ 2:__ 3:__ 4:__ 5:__ 6:bp 7:yb 8:__ 9:__ 10:__
2050	1:yr 2:__ 3:__ 4:__ 5:__ 6:bb 7:__ 8:__ 9:__ 10:__	the blue guy moved next to the yellow guy	1:yr 2:bb 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
2051	1:__ 2:__ 3:__ 4:__ 5:oy 6:gr 7:__ 8:__ 9:__ 10:__	a green man appears on the far left	1:g_ 2:__ 3:__ 4:__ 5:oy 6:gr 7:__ 8:__ 9:__ 10:__
2052	1:op 2:gb 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	a man in a blue hat and green shirt disappears	1:op 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
2054	1:__ 2:__ 3:__ 4:__ 5:go 6:__ 7:__ 8:__ 9:ob 10:__	the person with the yellow shirt and blue hat moves to stand on the left side of the woman in green with the yellow hat	1:__ 2:__ 3:__ 4:ob 5:go 6:__ 7:__ 8:__ 9:__ 10:__
2056	1:__ 2:__ 3:__ 4:ro 5:__ 6:__ 7:__ 8:__ 9:__ 10:yy	the red shirt guy moves to the far left	1:ro 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:yy
2057	1:gp 2:__ 3:__ 4:rp 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	the man in the green shirt moves to the right of the man in the red shirt	1:__ 2:__ 3:__ 4:rp 5:gp 6:__ 7:__ 8:__ 9:__ 10:__
2058	1:__ 2:__ 3:yo 4:__ 5:__ 6:__ 7:__ 8:bp 9:__ 10:__	the person in blue moves to the right one space	1:__ 2:__ 3:yo 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:bp
2059	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:gr 9:__ 10:oo	the man in the orange hat disappears	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:gr 9:__ 10:__
2060	1:go 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:bp	the green guy moved one spot right	1:__ 2:go 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:bp
2061	1:__ 2:ry 3:__ 4:yb 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	the person in yellow moves to the far right	1:__ 2:ry 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:yb
2062	1:__ 2:__ 3:__ 4:ob 5:__ 6:__ 7:__ 8:__ 9:pg 10:__	the man in the blue hat goes all the way to the right end	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:pg 10:ob
2063	1:__ 2:__ 3:__ 4:__ 5:go 6:__ 7:__ 8:__ 9:pg 10:__	the man in the green shirt and orange hat moves to the right end	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:pg 10:go
2064	1:__ 2:__ 3:rp 4:__ 5:pp 6:__ 7:__ 8:__ 9:__ 10:__	a man in a red shirt and no hat appears between the two men with purple hats	1:__ 2:__ 3:rp 4:r_ 5:pp 6:__ 7:__ 8:__ 9:__ 10:__
2065	1:__ 2:__ 3:__ 4:yr 5:gy 6:__ 7:__ 8:__ 9:__ 10:__	a person in blue appears to the left of the person in yellow	1:__ 2:__ 3:b_ 4:yr 5:gy 6:__ 7:__ 8:__ 9:__ 10:__
2066	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:op 8:__ 9:rp 10:__	the man in the red shirt moves to the far left	1:rp 2:__ 3:__ 4:__ 5:__ 6:__ 7:op 8:__ 9:__ 10:__
2067	1:__ 2:__ 3:__ 4:bp 5:__ 6:__ 7:__ 8:rp 9:__ 10:__	a person in a blue shirt disappears	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:rp 9:__ 10:__
2068	1:__ 2:__ 3:op 4:__ 5:__ 6:__ 7:op 8:__ 9:__ 10:__	the person on the left moves to the left of the person on the right so they are side by side	1:__ 2:__ 3:__ 4:__ 5:__ 6:op 7:op 8:__ 9:__ 10:__
2069	1:__ 2:__ 3:__ 4:pp 5:__ 6:__ 7:rb 8:__ 9:__ 10:__	the person in red moves to the far right	1:__ 2:__ 3:__ 4:pp 5:__ 6:__ 7:__ 8:__ 9:__ 10:rb
2070	1:oy 2:__ 3:__ 4:__ 5:__ 6:__ 7:rp 8:__ 9:__ 10:__	the man in the purple hat moves slightly to the right	1:oy 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:rp 9:__ 10:__
2071	1:__ 2:__ 3:rg 4:__ 5:__ 6:__ 7:__ 8:rb 9:__ 10:__	a person with a blue hat disappears on the right	1:__ 2:__ 3:rg 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
2073	1:ry 2:__ 3:__ 4:__ 5:__ 6:pb 7:__ 8:__ 9:__ 10:__	the person with the purple shirt and blue hat moves to the far right	1:ry 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:pb
2074	1:__ 2:__ 3:og 4:__ 5:by 6:__ 7:__ 8:__ 9:__ 10:__	the person in blue moves one space to the right	1:__ 2:__ 3:og 4:__ 5:__ 6:by 7:__ 8:__ 9:__ 10:__
2075	1:__ 2:__ 3:__ 4:__ 5:yy 6:__ 7:__ 8:__ 9:__ 10:bb	the person wearing the blue shirt and hat moves directly to the right of the person wearing a yellow shirt and hat	1:__ 2:__ 3:__ 4:__ 5:yy 6:bb 7:__ 8:__ 9:__ 10:__
2076	1:gg 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:rb 9:__ 10:__	the person with green hat and shirt moves from the left end to the right end and is now close to the other person with the blue hat and red shirt	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:rb 9:__ 10:gg
2077	1:__ 2:__ 3:__ 4:op 5:__ 6:__ 7:__ 8:rp 9:__ 10:__	the man with a red shirt slightly moves to the left	1:__ 2:__ 3:__ 4:op 5:__ 6:__ 7:rp 8:__ 9:__ 10:__
2078	1:op 2:__ 3:__ 4:__ 5:__ 6:oy 7:__ 8:__ 9:__ 10:__	the orange guy with the yellow hat disappears	1:op 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
2081	1:yo 2:__ 3:__ 4:__ 5:bp 6:__ 7:__ 8:__ 9:__ 10:__	the yellow shirt man moves to the far right	1:__ 2:__ 3:__ 4:__ 5:bp 6:__ 7:__ 8:__ 9:__ 10:yo
2082	1:gp 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:ry 10:__	a person in red appears on the far right	1:gp 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:ry 10:r_
2084	1:__ 2:yg 3:__ 4:__ 5:__ 6:__ 7:bg 8:__ 9:__ 10:__	the person in yellow moves to the left one	1:yg 2:__ 3:__ 4:__ 5:__ 6:__ 7:bg 8:__ 9:__ 10:__
2085	1:__ 2:__ 3:bb 4:br 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	a guy with a yellow shirt appears on the left	1:__ 2:y_ 3:bb 4:br 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
2086	1:__ 2:__ 3:__ 4:__ 5:__ 6:br 7:oy 8:__ 9:__ 10:__	a person with a blue shirt appears on the left end	1:b_ 2:__ 3:__ 4:__ 5:__ 6:br 7:oy 8:__ 9:__ 10:__
2087	1:__ 2:__ 3:__ 4:__ 5:by 6:__ 7:__ 8:__ 9:__ 10:yo	the person with the blue shirt and yellow hat moves next to the person with the yellow shirt and orange hat	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:by 10:yo
2088	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:oy 8:__ 9:bg 10:__	a guy in an orange shirt appears left of the other orange guy	1:__ 2:__ 3:__ 4:__ 5:__ 6:o_ 7:oy 8:__ 9:bg 10:__
2089	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:rg 8:__ 9:pp 10:__	the man in the red shirt and green hat moves to the far right end	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:pp 10:rg
2090	1:__ 2:__ 3:__ 4:pg 5:rr 6:__ 7:__ 8:__ 9:__ 10:__	the man in the green hat takes a step left	1:__ 2:__ 3:pg 4:__ 5:rr 6:__ 7:__ 8:__ 9:__ 10:__
2091	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:br 8:yp 9:__ 10:__	a man with no hat appears on the right of the man in the purple hat	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:br 8:yp 9:y_ 10:__
2092	1:__ 2:__ 3:__ 4:__ 5:ob 6:__ 7:br 8:__ 9:__ 10:__	the woman in yellow with the blue hat takes one step to the left	1:__ 2:__ 3:__ 4:ob 5:__ 6:__ 7:br 8:__ 9:__ 10:__
2093	1:__ 2:yg 3:__ 4:__ 5:og 6:__ 7:__ 8:__ 9:__ 10:__	the orange man moves one spot left	1:__ 2:yg 3:__ 4:og 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
2094	1:__ 2:__ 3:__ 4:by 5:__ 6:__ 7:__ 8:op 9:__ 10:__	the man in the yellow cap moves to the right of the person in the purple cap	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:op 9:by 10:__
2096	1:__ 2:gr 3:__ 4:__ 5:__ 6:__ 7:bo 8:__ 9:__ 10:__	a person in purple appears on the far right	1:__ 2:gr 3:__ 4:__ 5:__ 6:__ 7:bo 8:__ 9:__ 10:p_
2097	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:gp 9:yy 10:__	a person in a yellow shirt and yellow hat disappears	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:gp 9:__ 10:__
2098	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:rp 9:ro 10:__	the man in the orange hat disappears	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:rp 9:__ 10:__
2099	1:__ 2:__ 3:ry 4:__ 5:__ 6:__ 7:oy 8:__ 9:__ 10:__	person with the orange shirt moves to the right end	1:__ 2:__ 3:ry 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:oy
1100	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:go 8:__ 9:__ 10:yo	a man in a green shirt and an orange hat stands near the middle and a man in a yellow shirt and an orange hat stands on the far right	1:r_ 2:__ 3:__ 4:__ 5:__ 6:__ 7:go 8:__ 9:__ 10:yo
1101	1:bo 2:__ 3:__ 4:br 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	the person in an orange hat moves to the left of the person in a red hat	1:__ 2:__ 3:bo 4:br 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
1102	1:__ 2:bo 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:pr 10:__	the man in red hat disappears	1:__ 2:bo 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
1103	1:__ 2:__ 3:__ 4:or 5:__ 6:__ 7:bo 8:__ 9:__ 10:__	a man in a yellow shirt appears to the right of the man with the red hat	1:__ 2:__ 3:__ 4:or 5:y_ 6:__ 7:bo 8:__ 9:__ 10:__
1105	1:__ 2:__ 3:yy 4:__ 5:og 6:__ 7:__ 8:__ 9:__ 10:__	the person in orange moves to the far right	1:__ 2:__ 3:yy 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:og
1106	1:__ 2:__ 3:__ 4:__ 5:__ 6:bo 7:yb 8:__ 9:__ 10:__	the blue shirt man moves to the left of the yellow man	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:yb 8:bo 9:__ 10:__
1107	1:by 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:pg 9:__ 10:__	the man in the green hat moves to the far right edge	1:by 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:pg
