train-1100	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:go 8:__ 9:__ 10:yo	a man in a green shirt and an orange hat stands near the middle and a man in a yellow shirt and an orange hat stands on the far right	1:r_ 2:__ 3:__ 4:__ 5:__ 6:__ 7:go 8:__ 9:__ 10:yo	a man in a red shirt and no hat enters and stands on the far left	1:r_ 2:__ 3:__ 4:__ 5:__ 6:__ 7:go 8:__ 9:y_ 10:yo	a man in a yellow shirt and no hat joins and stands next to the man in the yellow shirt and orange hat	1:r_ 2:__ 3:__ 4:__ 5:__ 6:go 7:__ 8:__ 9:y_ 10:yo	the man in the yellow shirt and orange hat moves next to the man in the green shirt and orange hat, he stands on the right	1:r_ 2:__ 3:__ 4:__ 5:__ 6:go 7:yo 8:__ 9:y_ 10:__	a man in a green shirt and no hat joins and stands next to the man in the green shirt and orange hat	1:r_ 2:__ 3:__ 4:__ 5:g_ 6:go 7:yo 8:__ 9:y_ 10:__
train-1101	1:bo 2:__ 3:__ 4:br 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	the person in an orange hat moves to the left of the person in a red hat	1:__ 2:__ 3:bo 4:br 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	he then disappears	1:__ 2:__ 3:__ 4:br 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	then a person in orange appears on the far right	1:__ 2:__ 3:__ 4:br 5:__ 6:__ 7:__ 8:__ 9:__ 10:o_	he then disappears	1:__ 2:__ 3:__ 4:br 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	the person in blue in a red hat moves to the far left	1:br 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
train-1102	1:__ 2:bo 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:pr 10:__	the man in red hat disappears	1:__ 2:bo 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	next the man in orange hat moves to the right	1:__ 2:__ 3:bo 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	then he moves to the right again	1:__ 2:__ 3:__ 4:bo 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	next, a man in a yellow shirt shows up on the far left	1:y_ 2:__ 3:__ 4:bo 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	then the man in the orange hat disappears	1:y_ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
train-1103	1:__ 2:__ 3:__ 4:or 5:__ 6:__ 7:bo 8:__ 9:__ 10:__	a man in a yellow shirt appears to the right of the man with the red hat	1:__ 2:__ 3:__ 4:or 5:y_ 6:__ 7:bo 8:__ 9:__ 10:__	another man wearing an orange shirt appears at the left end	1:o_ 2:__ 3:__ 4:or 5:y_ 6:__ 7:bo 8:__ 9:__ 10:__	the man in the yellow shirt takes the red hat	1:o_ 2:__ 3:__ 4:o_ 5:yr 6:__ 7:bo 8:__ 9:__ 10:__	the man he took it from takes it back	1:o_ 2:__ 3:__ 4:or 5:y_ 6:__ 7:bo 8:__ 9:__ 10:__	the man in the orange hat moves directly to the right of the thief in the yellow shirt	1:o_ 2:__ 3:__ 4:or 5:y_ 6:bo 7:__ 8:__ 9:__ 10:__
train-1105	1:__ 2:__ 3:yy 4:__ 5:og 6:__ 7:__ 8:__ 9:__ 10:__	the person in orange moves to the far right	1:__ 2:__ 3:yy 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:og	he then moves to the far left	1:og 2:__ 3:yy 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	a person in purple appears to the right of the person in yellow	1:og 2:__ 3:yy 4:p_ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	a person in red appears to the right of him	1:og 2:__ 3:yy 4:p_ 5:r_ 6:__ 7:__ 8:__ 9:__ 10:__	he then disappears	1:og 2:__ 3:yy 4:p_ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
train-1106	1:__ 2:__ 3:__ 4:__ 5:__ 6:bo 7:yb 8:__ 9:__ 10:__	the blue shirt man moves to the left of the yellow man	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:yb 8:bo 9:__ 10:__	the blue man moves one spot to the right	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:yb 8:__ 9:bo 10:__	then he moves back	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:yb 8:bo 9:__ 10:__	a yellow guy without a hat appears on the left of the other yellow guy	1:__ 2:__ 3:__ 4:__ 5:__ 6:y_ 7:yb 8:bo 9:__ 10:__	the yellow man with a hat disappears	1:__ 2:__ 3:__ 4:__ 5:__ 6:y_ 7:__ 8:bo 9:__ 10:__
train-1107	1:by 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:pg 9:__ 10:__	the man in the green hat moves to the far right edge	1:by 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:pg	the other man leaves, leaving him alone	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:pg	he takes a step to the left	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:pg 10:__	he does it again	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:__ 8:pg 9:__ 10:__	a man in an orange shirt and no hat appears to his left	1:__ 2:__ 3:__ 4:__ 5:__ 6:__ 7:o_ 8:pg 9:__ 10:__
train-1108	1:rp 2:gg 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	a man in a black shirt shows up on the right end	1:rp 2:gg 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:p_	he moves the the left by one	1:rp 2:gg 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:p_ 10:__	he moves back	1:rp 2:gg 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:p_	he exits	1:rp 2:gg 3:__ 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	the man in the green shirt and green hat moves to the right by one	1:rp 2:__ 3:gg 4:__ 5:__ 6:__ 7:__ 8:__ 9:__ 10:__
train-1109	1:ro 2:__ 3:__ 4:__ 5:__ 6:__ 7:bp 8:__ 9:__ 10:__	a man in a red shirt with no hat enters and stands to the right of the man in the blue shirt	1:ro 2:__ 3:__ 4:__ 5:__ 6:__ 7:bp 8:r_ 9:__ 10:__	the man in the blue shirt gives his black hat to the man in the red shirt without a hat	1:ro 2:__ 3:__ 4:__ 5:__ 6:__ 7:b_ 8:rp 9:__ 10:__	the man in the red shirt and black hat goes and stands next to the man in the red shirt and orange hat	1:ro 2:rp 3:__ 4:__ 5:__ 6:__ 7:b_ 8:__ 9:__ 10:__	the man in the red shirt and orange hat goes and stands to the left of the man in the blue shirt	1:__ 2:rp 3:__ 4:__ 5:__ 6:ro 7:b_ 8:__ 9:__ 10:__	the man in the red shirt and orange hat gives his orange hat to the man in the blue shirt	1:__ 2:rp 3:__ 4:__ 5:__ 6:r_ 7:bo 8:__ 9:__ 10:__
train-1111	1:__ 2:__ 3:__ 4:pb 5:gy 6:__ 7:__ 8:__ 9:__ 10:__	the person in green moves to the far right	1:__ 2:__ 3:__ 4:pb 5:__ 6:__ 7:__ 8:__ 9:__ 10:gy	he then moves to the left of the person in purple	1:__ 2:__ 3:gy 4:pb 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	then he moves back	1:__ 2:__ 3:__ 4:pb 5:__ 6:__ 7:__ 8:__ 9:__ 10:gy	he then moves to the far left	1:gy 2:__ 3:__ 4:pb 5:__ 6:__ 7:__ 8:__ 9:__ 10:__	then he moves back	1:__ 2:__ 3:__ 4:pb 5:__ 6:__ 7:__ 8:__ 9:__ 10:gy
